Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Hoxa9,85.57372541288403,3.3205815578309776,0.8700091510503409,3.8167202653237844,0.00013523734726318017,0.001099062441433046,Hoxa9,3.8689033566896307,DEG
Csgalnact1,13.94204346980135,3.2989893164744792,1.2356693027865606,2.669799524059488,0.007589654688986302,0.040039663003583185,Csgalnact1,2.119777983008248,DEG
Fhit,19.466994716956776,3.2807043020799687,0.5044444181673635,6.503599175502233,7.842067897700878e-11,1.6997498132990203e-09,Fhit,10.105569401838265,DEG
Dach1,139.77420652780097,3.226310321720391,0.32365170854883135,9.968463742046389,2.09443259804142e-23,1.5168406415298868e-21,Dach1,22.678933611320755,DEG
Scube1,81.54242958164457,3.210672169449734,0.37228369149443996,8.62426220327109,6.45071696106831e-18,2.903784321935945e-16,Scube1,17.19039201328234,DEG
Sparcl1,146.18528946872402,3.199840206809938,0.8867963377963806,3.6083146382418434,0.0003081925902795076,0.0023104850030920858,Sparcl1,3.5111778070173605,DEG
Spon2,21.721711608013194,3.1931159716079778,0.9222475475408186,3.462319829553844,0.0005355403419183208,0.0038193250438444495,Spon2,3.2712078084687195,DEG
Adamtsl2,17.92401207382291,3.1847554567640066,0.7204964067136962,4.420223927680924,9.859867614311638e-06,9.934019082766291e-05,Adamtsl2,5.006128916170343,DEG
Gm18101,18.048139477324746,3.1830605135864003,0.7575624079190114,4.201713918632946,2.6490176358499617e-05,0.000247575926809568,Gm18101,4.5769151503751635,DEG
Cdh3,580.7801015331089,3.1731260146032163,0.14364659176015446,22.089810664643952,3.9605214268135455e-108,9.716396722919506e-105,Cdh3,107.4022476327916,DEG
Snai2,74.49593099709789,3.169483089678167,0.3855522283684907,8.220632268396438,2.0243308727197478e-16,7.986036155464146e-15,Snai2,15.693718501490176,DEG
Hoxd1,89.1131174660938,3.1662014245090093,0.3926201522716841,8.064286578744106,7.366477284138584e-16,2.746024053507045e-14,Hoxd1,15.132740146036019,DEG
Nkain4,23.361052689518687,3.1621039303266394,0.4668599333636028,6.773131948900634,1.2602391380842513e-11,3.005356433002498e-10,Nkain4,10.899547037028396,DEG
Nipal1,24.913336950922545,3.159485262723593,0.925516967352285,3.4137518534773443,0.0006407490619516148,0.004481704014395355,Nipal1,3.1933120209447883,DEG
Bmp2,86.82452726156879,3.1567490379608745,0.539183444533203,5.854684653186679,4.77915956129599e-09,8.09302632698669e-08,Bmp2,8.320648469493108,DEG
Slc9a9,65.33544635748197,3.15340474705989,0.3556954780038587,8.865462009122536,7.618749045591868e-19,3.766483076657652e-17,Slc9a9,18.11811633144203,DEG
2900052N01Rik,14.524778373599089,3.1521749779195267,0.8896870163982503,3.5430155996662536,0.00039557930179185725,0.0028996590724996774,2900052N01Rik,3.4027664404134574,DEG
Ada,390.49069119209764,3.1520499859293105,0.15735667037860632,20.031244804210427,2.9421116124676144e-89,3.7253776491674604e-86,Ada,88.53134085582353,DEG
Mnx1,22.74879074938974,3.141076191038495,0.6546200649618199,4.7983194514847245,1.6000244537724517e-06,1.8336075245206565e-05,Mnx1,5.795873379808274,DEG
Pcdhb21,20.888883315186472,3.1381710082777294,0.9563781999856485,3.2813075500098403,0.0010332701018434746,0.006865089930206823,Pcdhb21,2.985786136944124,DEG
Gm8276,47.41613060949182,3.1319249619731937,0.43325420372195367,7.228839178172512,4.871398824375181e-13,1.3816258529855416e-11,Gm8276,12.31234631302012,DEG
Nab2,30.627894339103047,3.1313110751503794,0.44393201632476065,7.053582440559217,1.7436911923804917e-12,4.634062990826773e-11,Nab2,11.758530426123729,DEG
Peg10,2769.8601799664825,3.1292055019049183,0.2605083686033477,12.011919304863,3.076215452477574e-33,4.406959312266504e-31,Peg10,32.5119832506179,DEG
Zfp703,228.5340321921093,3.1180822950877145,0.323029701748636,9.65261794258794,4.791655802300343e-22,3.093533967231831e-20,Zfp703,21.319514386054973,DEG
Clmp,85.05592742189147,3.1173642298274555,0.32571513992001283,9.57082999148581,1.0605083970715527e-21,6.649861998442438e-20,Clmp,20.974485888403994,DEG
Tspan12,1472.2855454279727,3.1172014756675415,0.2174947493920798,14.332306799959266,1.3747711689752043e-46,3.9155844055953605e-44,Tspan12,45.861769584249586,DEG
Gm27204,18.633748292725823,3.1099999748479537,0.7005292454818809,4.43950055605265,9.016788175713087e-06,9.157464068855519e-05,Gm27204,5.044948132742569,DEG
Wnt7a,11.027479206392362,3.100911543691716,0.6895094090794748,4.497272267584526,6.88308224760344e-06,7.157129204375571e-05,Wnt7a,5.162217040926158,DEG
Upk3a,23.846292610824094,3.0873639259907013,1.2117049911399005,2.5479501599529533,0.010835795068479278,0.05463551237289879,Upk3a,1.9651392171374134,DEG
Pik3ap1,24.715751199701355,3.0862145122312503,0.5783221823641849,5.3364968634175245,9.475951063414201e-08,1.3251140259786165e-06,Pik3ap1,7.023377190767345,DEG
Mllt3,729.9248354584976,3.066665689560813,0.16800812131634332,18.253080062639192,1.9556577358201087e-74,1.5353086620829344e-71,Mllt3,73.70870714977906,DEG
Mobp,30.85595075503937,3.048120621059564,0.6413130544417934,4.752937118538286,2.004827146307035e-06,2.2529481813338115e-05,Mobp,5.697923065757581,DEG
Atp1a2,200.09375125907584,3.0430772309074063,0.29734543604648306,10.23414810520815,1.3941673559284788e-24,1.110045663737537e-22,Atp1a2,23.85568509037451,DEG
Wfikkn1,122.79886284981151,3.036437527658732,0.3049599758004226,9.95683948258801,2.3542813089109052e-23,1.698761106961025e-21,Wfikkn1,22.628141645312283,DEG
Rnf150,14.189593102563972,3.0313041949043193,0.6421406617998853,4.720623338830061,2.3512298369714264e-06,2.6137871648439364e-05,Rnf150,5.628704915728473,DEG
Col25a1,24.202564887335086,3.0311996967927457,0.5848098641375318,5.183222586819925,2.1808450949081444e-07,2.8940065081281066e-06,Col25a1,6.661375181196083,DEG
Aurkc,18.660825192073357,3.0162788461397567,0.7619522004829923,3.958619509501743,7.538421838265925e-05,0.0006466470114017753,Aurkc,4.122719563768186,DEG
Tshz1,157.3591907859898,3.0156099308766584,0.4263455891412825,7.073158507281625,1.5144632683410606e-12,4.052299023325947e-11,Tshz1,11.819741255543565,DEG
Alx3,29.753950199383123,3.012774839699776,0.3982371203629823,7.565278789063446,3.8703362788887236e-14,1.2281512526695155e-12,Alx3,13.412251299135878,DEG
Sema3e,914.9413832313212,3.0060433731348137,0.23440916102777462,12.823915925276632,1.2045962022761276e-37,2.1992564989741782e-35,Sema3e,36.91915851036112,DEG
Kitl,469.192524210489,2.992769227719033,0.31910666314594044,9.378585825236492,6.686348070548097e-21,3.876797944065354e-19,Kitl,20.174811019130875,DEG
